What is <code>=</code> operator called in Elixir?	"It's <em>match</em> operator, it's used in pattern matching."	
How do you link two processes such that when one process dies, the other process dies too?	<div>`spawn_link(anon_fun) :: pid`</div><div>`spawn_link(module_name, :function_name, args) :: pid`</div><div><div>spawn_link call spawns a process and links it to the caller in one operation.&nbsp;When processes are linked, each can receive information when the other exits i.e when one exits abnormally, it kills the other.</div></div>	
What is the difference between `spawn_link` and `spawn_monitor`?	"<p><em>Linking</em> joins the calling process and spawned process—each receives notifications about the other. By contrast, <em>monitoring</em> lets a process spawn another and be notified of its termination, but without the reverse notification—it is one-way only(spawned-process to calling process).</p> <p>In linking, a process receives an :EXIT message when the other process exits or fails, or if it doesn’t exist. When you monitor a process, you receive a :DOWN message when it exits or fails, or if it doesn’t exist.</p> <p>If the intent is that a failure in one process should <em>terminate</em> another, then you need links. If instead you <em>need to know</em> when some other process exits for any reason, choose monitors.</p> <div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #000000"">defmodule</span> <span style=""color: #000000"">Monitor1</span> <span style=""color: #000000"">do</span>   <span style=""color: #204a87; font-weight: bold"">import</span> <span style=""color: #000000; font-weight: bold"">:</span><span style=""color: #000000"">timer</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000"">only</span><span style=""color: #000000; font-weight: bold"">:</span> <span style=""color: #000000; font-weight: bold"">[</span> <span style=""color: #000000"">sleep</span><span style=""color: #000000; font-weight: bold"">:</span> <span style=""color: #0000cf; font-weight: bold"">1</span> <span style=""color: #000000; font-weight: bold"">]</span>    <span style=""color: #204a87; font-weight: bold"">def</span> <span style=""color: #000000"">sad_function</span> <span style=""color: #000000"">do</span>     <span style=""color: #000000"">sleep</span> <span style=""color: #0000cf; font-weight: bold"">500</span>     <span style=""color: #204a87"">exit</span><span style=""color: #000000; font-weight: bold"">(:</span><span style=""color: #000000"">boom</span><span style=""color: #000000; font-weight: bold"">)</span>   <span style=""color: #000000"">end</span>   <span style=""color: #204a87; font-weight: bold"">def</span> <span style=""color: #000000"">run</span> <span style=""color: #000000"">do</span>     <span style=""color: #000000"">res</span> <span style=""color: #ce5c00; font-weight: bold"">=</span> <span style=""color: #000000"">spawn_monitor</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">Monitor1</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000; font-weight: bold"">:</span><span style=""color: #000000"">sad_function</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000; font-weight: bold"">[])</span>     <span style=""color: #000000"">IO</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">puts</span> <span style=""color: #000000"">inspect</span> <span style=""color: #000000"">res</span>     <span style=""color: #000000"">receive</span> <span style=""color: #000000"">do</span>       <span style=""color: #000000"">msg</span> <span style=""color: #ce5c00; font-weight: bold"">-&gt;</span>         <span style=""color: #000000"">IO</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">puts</span> <span style=""color: #4e9a06"">""MESSAGE RECEIVED: #{inspect msg}""</span>     <span style=""color: #000000"">after</span> <span style=""color: #0000cf; font-weight: bold"">1000</span> <span style=""color: #ce5c00; font-weight: bold"">-&gt;</span>         <span style=""color: #000000"">IO</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">puts</span> <span style=""color: #4e9a06"">""Nothing happened as far as I am concerned""</span>     <span style=""color: #000000"">end</span>   <span style=""color: #000000"">end</span> <span style=""color: #000000"">end</span> </pre></div> <div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #a40000; border: 1px solid #ef2929"">$</span> <span style=""color: #000000"">elixir</span> <span style=""color: #ce5c00; font-weight: bold"">-</span><span style=""color: #000000"">r</span> <span style=""color: #000000"">monitor1</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">exs</span> <span style=""color: #000000; font-weight: bold"">{</span><span style=""color: #8f5902; font-style: italic"">#PID&lt;0.78.0&gt;, #Reference&lt;0.1328...&gt;}</span> <span style=""color: #000000"">MESSAGE</span> <span style=""color: #000000"">RECEIVED</span><span style=""color: #000000; font-weight: bold"">:</span> <span style=""color: #000000; font-weight: bold"">{:</span><span style=""color: #000000"">DOWN</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #8f5902; font-style: italic"">#Reference&lt;0.1328...&gt;, :process,</span>                       <span style=""color: #8f5902; font-style: italic"">#PID&lt;0.78.0&gt;, :boom}</span> </pre></div><!----SBAdata:eyJpc2NvbnZlcnRlZCI6ICJUcnVlIiwgImxhc3Rtb2RpZmllZCI6IDE1MzMyNjY5MjgsICJpZCI6ICIxNTMzMjYzNjA3MzQxLTAwMSIsICJtZCI6ICIqTGlua2luZyogam9pbnMgdGhlIGNhbGxpbmcgcHJvY2VzcyBhbmQgc3Bhd25lZCBwcm9jZXNzXHUyMDE0ZWFjaCByZWNlaXZlcyBub3RpZmljYXRpb25zIGFib3V0IHRoZSBvdGhlci4gQnkgY29udHJhc3QsICptb25pdG9yaW5nKiBsZXRzIGEgcHJvY2VzcyBzcGF3biBhbm90aGVyIGFuZCBiZSBub3RpZmllZCBvZiBpdHMgdGVybWluYXRpb24sIGJ1dCB3aXRob3V0IHRoZSByZXZlcnNlIG5vdGlmaWNhdGlvblx1MjAxNGl0IGlzIG9uZS13YXkgb25seShzcGF3bmVkLXByb2Nlc3MgdG8gY2FsbGluZyBwcm9jZXNzKS5cbiAgXG5JbiBsaW5raW5nLCBhIHByb2Nlc3MgcmVjZWl2ZXMgYW4gOkVYSVQgbWVzc2FnZSB3aGVuIHRoZSBvdGhlciBwcm9jZXNzIGV4aXRzIG9yIGZhaWxzLCBvciBpZiBpdCBkb2Vzblx1MjAxOXQgZXhpc3QuIFdoZW4geW91IG1vbml0b3IgYSBwcm9jZXNzLCB5b3UgcmVjZWl2ZSBhIDpET1dOIG1lc3NhZ2Ugd2hlbiBpdCBleGl0cyBvciBmYWlscywgb3IgaWYgaXQgZG9lc25cdTIwMTl0IGV4aXN0LlxuICBcbklmIHRoZSBpbnRlbnQgaXMgdGhhdCBhIGZhaWx1cmUgaW4gb25lIHByb2Nlc3Mgc2hvdWxkICp0ZXJtaW5hdGUqIGFub3RoZXIsIHRoZW4geW91IG5lZWQgbGlua3MuIElmIGluc3RlYWQgeW91ICpuZWVkIHRvIGtub3cqIHdoZW4gc29tZSBvdGhlciBwcm9jZXNzIGV4aXRzIGZvciBhbnkgcmVhc29uLCBjaG9vc2UgbW9uaXRvcnMuXG4gIFxuYGBgcHl0aG9uXG5kZWZtb2R1bGUgTW9uaXRvcjEgZG9cbiAgaW1wb3J0IDp0aW1lciwgb25seTogWyBzbGVlcDogMSBdXG4gIFxuICBkZWYgc2FkX2Z1bmN0aW9uIGRvXG4gICAgc2xlZXAgNTAwXG4gICAgZXhpdCg6Ym9vbSlcbiAgZW5kXG4gIGRlZiBydW4gZG9cbiAgICByZXMgPSBzcGF3bl9tb25pdG9yKE1vbml0b3IxLCA6c2FkX2Z1bmN0aW9uLCBbXSlcbiAgICBJTy5wdXRzIGluc3BlY3QgcmVzXG4gICAgcmVjZWl2ZSBkb1xuICAgICAgbXNnIC0mZ3Q7XG4gICAgICAgIElPLnB1dHMgJnF1b3Q7TUVTU0FHRSBSRUNFSVZFRDogI3tpbnNwZWN0IG1zZ30mcXVvdDtcbiAgICBhZnRlciAxMDAwIC0mZ3Q7XG4gICAgICAgIElPLnB1dHMgJnF1b3Q7Tm90aGluZyBoYXBwZW5lZCBhcyBmYXIgYXMgSSBhbSBjb25jZXJuZWQmcXVvdDtcbiAgICBlbmRcbiAgZW5kXG5lbmRcbmBgYFxuYGBgcHl0aG9uXG4kIGVsaXhpciAtciBtb25pdG9yMS5leHNcbnsjUElEJmx0OzAuNzguMCZndDssICNSZWZlcmVuY2UmbHQ7MC4xMzI4Li4uJmd0O31cbk1FU1NBR0UgUkVDRUlWRUQ6IHs6RE9XTiwgI1JlZmVyZW5jZSZsdDswLjEzMjguLi4mZ3Q7LCA6cHJvY2VzcyxcbiAgICAgICAgICAgICAgICAgICAgICAjUElEJmx0OzAuNzguMCZndDssIDpib29tfVxuYGBgXG4ifQ==---->"	
"How do you get the current node's name? How to assign a name when starting BEAM?"	<pre>iex> Node.self()<br>:nonode@nohost</pre>To start BEAM with a name, one can use <code>name</code> or <code>sname</code> option:<br><pre>>iex --name mike@katbookpro<br>Erlang/OTP 20 [erts-9.3] [source] [64-bit] [smp:4:4] [ds:4:4:10] [async-threads:10] [hipe] [kernel-poll:false] [dtrace]<br><br>Interactive Elixir (1.6.4) - press Ctrl+C to exit (type h() ENTER for help)<br>iex(mike@katbookpro)1></pre>	
How do you invoke a function on a remote node?	"<div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #000000"">iex</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">node1</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">)</span><span style=""color: #0000cf; font-weight: bold"">4</span><span style=""color: #ce5c00; font-weight: bold"">&gt;</span> <span style=""color: #000000"">Node</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">connect</span><span style=""color: #000000; font-weight: bold"">(:</span><span style=""color: #000000"">node2</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">)</span> <span style=""color: #000000"">true</span> <span style=""color: #000000"">iex</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">node1</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">)</span><span style=""color: #0000cf; font-weight: bold"">7</span><span style=""color: #ce5c00; font-weight: bold"">&gt;</span> <span style=""color: #000000"">Node</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">spawn</span><span style=""color: #000000; font-weight: bold"">(:</span><span style=""color: #000000"">node2</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000"">fn</span><span style=""color: #ce5c00; font-weight: bold"">-&gt;</span><span style=""color: #000000"">File</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">ls</span><span style=""color: #a40000; border: 1px solid #ef2929"">!</span> <span style=""color: #ce5c00; font-weight: bold"">|&gt;</span> <span style=""color: #000000"">Enum</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">join</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #4e9a06"">"",""</span><span style=""color: #000000; font-weight: bold"">)</span><span style=""color: #ce5c00; font-weight: bold"">|&gt;</span><span style=""color: #000000"">IO</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">puts</span> <span style=""color: #000000"">end</span><span style=""color: #000000; font-weight: bold"">)</span> <span style=""color: #8f5902; font-style: italic"">#PID&lt;10406.101.0&gt;</span> <span style=""color: #000000"">pin</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">exs</span><span style=""color: #000000; font-weight: bold"">,</span><span style=""color: #000000"">Lists</span><span style=""color: #000000; font-weight: bold"">,</span><span style=""color: #000000"">fizzbuzz</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">exs</span><span style=""color: #000000; font-weight: bold"">,</span><span style=""color: #000000"">Enum</span><span style=""color: #000000; font-weight: bold"">,</span><span style=""color: #000000"">Maps_KW</span><span style=""color: #000000; font-weight: bold"">,</span><span style=""color: #000000"">Binaries</span> </pre></div><!----SBAdata:eyJpc2NvbnZlcnRlZCI6ICJUcnVlIiwgImxhc3Rtb2RpZmllZCI6IDE1MzU3MzkxMTMsICJpZCI6ICIxNTM1NzM3Mjc4NzU2LTAwMSIsICJtZCI6ICJgYGBweXRob25cbmlleChub2RlMUBrYXRib29rcHJvKTQmZ3Q7IE5vZGUuY29ubmVjdCg6bm9kZTJAa2F0Ym9va3BybylcbnRydWVcbmlleChub2RlMUBrYXRib29rcHJvKTcmZ3Q7IE5vZGUuc3Bhd24oOm5vZGUyQGthdGJvb2twcm8sIGZuLSZndDtGaWxlLmxzISB8Jmd0OyBFbnVtLmpvaW4oJnF1b3Q7LCZxdW90Oyl8Jmd0O0lPLnB1dHMgZW5kKVxuI1BJRCZsdDsxMDQwNi4xMDEuMCZndDtcbnBpbi5leHMsTGlzdHMsZml6emJ1enouZXhzLEVudW0sTWFwc19LVyxCaW5hcmllc1xuYGBgXG4ifQ==---->"	
How do you list a visible nodes in the VM?	"<div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #000000"">iex</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">node1</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">)</span><span style=""color: #0000cf; font-weight: bold"">10</span><span style=""color: #ce5c00; font-weight: bold"">&gt;</span> <span style=""color: #000000"">Node</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">list</span> <span style=""color: #000000; font-weight: bold"">[:</span><span style=""color: #000000"">node2</span><span style=""color: #5c35cc; font-weight: bold"">@katbookpro</span><span style=""color: #000000; font-weight: bold"">]</span> </pre></div><!----SBAdata:eyJpc2NvbnZlcnRlZCI6ICJUcnVlIiwgImxhc3Rtb2RpZmllZCI6IDE1MzU3MzkzNTcsICJpZCI6ICIxNTM1NzM5MTMyMTAzLTAwMSIsICJtZCI6ICJgYGBweXRob25cbmlleChub2RlMUBrYXRib29rcHJvKTEwJmd0OyBOb2RlLmxpc3Rcbls6bm9kZTJAa2F0Ym9va3Byb11cbmBgYFxuIn0=---->"	
How do you measure execution time of your program execution?	"<p>call it with the function</p> <div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #000000;font-weight: bold"">:</span><span style=""color: #000000"">timer</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">tc</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">Module</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000"">Function</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000"">Arguments</span><span style=""color: #000000; font-weight: bold"">)</span> <span style=""color: #ce5c00; font-weight: bold"">-&gt;</span> <span style=""color: #000000; font-weight: bold"">{</span><span style=""color: #000000"">Time</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000"">Value</span><span style=""color: #000000; font-weight: bold"">}</span> </pre></div> <p>where <code>Time</code> is in milliseconds</p> <p>For example,</p> <div class=""codehilite"" style=""background: #f8f8f8"" align=""left""><pre style=""line-height: 125%""><span style=""color: #000000"">iex</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #0000cf; font-weight: bold"">8</span><span style=""color: #000000; font-weight: bold"">)</span><span style=""color: #ce5c00; font-weight: bold"">&gt;</span> <span style=""color: #000000; font-weight: bold"">:</span><span style=""color: #000000"">timer</span><span style=""color: #ce5c00; font-weight: bold"">.</span><span style=""color: #000000"">tc</span><span style=""color: #000000; font-weight: bold"">(</span><span style=""color: #000000"">String</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000; font-weight: bold"">:</span><span style=""color: #000000"">split</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000; font-weight: bold"">[</span><span style=""color: #4e9a06"">""hello world""</span><span style=""color: #000000; font-weight: bold"">])</span>  <span style=""color: #000000; font-weight: bold"">{</span><span style=""color: #0000cf; font-weight: bold"">116</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #000000; font-weight: bold"">[</span><span style=""color: #4e9a06"">""hello""</span><span style=""color: #000000; font-weight: bold"">,</span> <span style=""color: #4e9a06"">""world""</span><span style=""color: #000000; font-weight: bold"">]}</span> </pre></div><!----SBAdata:eyJpc2NvbnZlcnRlZCI6ICJUcnVlIiwgImxhc3Rtb2RpZmllZCI6IDE1MzY4OTQ3MDQsICJpZCI6ICIxNTM2ODk0Mjg4NzQ5LTAwMSIsICJtZCI6ICJjYWxsIGl0IHdpdGggdGhlIGZ1bmN0aW9uXG5gYGBweXRob25cbjp0aW1lci50YyhNb2R1bGUsIEZ1bmN0aW9uLCBBcmd1bWVudHMpIC0mZ3Q7IHtUaW1lLCBWYWx1ZX1cbmBgYFxud2hlcmUgYFRpbWVgIGlzIGluIG1pbGxpc2Vjb25kc1xuICBcbkZvciBleGFtcGxlLFxuYGBgcHl0aG9uXG5pZXgoOCkmZ3Q7IDp0aW1lci50YyhTdHJpbmcsIDpzcGxpdCwgWyZxdW90O2hlbGxvIHdvcmxkJnF1b3Q7XSkgXG57MTE2LCBbJnF1b3Q7aGVsbG8mcXVvdDssICZxdW90O3dvcmxkJnF1b3Q7XX1cbmBgYFxuICBcbiAgXG4ifQ==---->"	
how do you clear all messages from the current processes mailbox?	flush()	
"what happens when you run the following code?&nbsp;<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">spawn <span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #008000; font-weight: bold"">raise</span> <span style=""color: #BA2121"">""oops""</span> <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br></div>"	an error is logged, but the parent process remains alive	
"what happens when you run the following code?&nbsp;<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">spawn_link <span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #008000; font-weight: bold"">raise</span> <span style=""color: #BA2121"">""oops""</span> <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br></div>"	an errors is logged and the parent process dies.	
What are the Task module equivalents for spawn/1 and spawn_link/1 respectively?	Task.start/1 and Task.start_link/1	
"What is returned by the following?:&nbsp;<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF; font-weight: bold"">Task</span><span style=""color: #666666"">.</span>start <span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #666666"">1</span> <span style=""color: #666666"">+</span> <span style=""color: #666666"">1</span> <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center>"	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">{<span style=""color: #19177C"">:ok</span>, <span style=""color: #408080; font-style: italic"">#PID&lt;...&gt;}</span> </pre></div> </td></tr></tbody></table></center>"	
how do you register the name `:kv` with a process identified by `pid`?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF;font-weight: bold"">Process</span><span style=""color: #666666"">.</span>register(pid, <span style=""color: #19177C"">:kv</span>) </pre></div> </td></tr></tbody></table><br /></center><center>Please note that there's also :global.register/2 which registers the process globally</center>"	
how do you send a message to a process named `:kv`?	"send :kv, {:hello, ""world""}"	
How do you start an Agent for an empty list?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">{<span style=""color: #19177C"">:ok</span>, agent_pid} <span style=""color: #666666"">=</span> <span style=""color: #0000FF; font-weight: bold"">Agent</span><span style=""color: #666666"">.</span>start_link(<span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> [] <span style=""color: #008000; font-weight: bold"">end</span>) </pre></div> </td></tr></tbody></table></center>"	
How do you retrieve the stored value for an Agent?	Agent.get(fn value -> value end)	
How do you list the location of beam file for a particular Elixir/Erlang module?	"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span></span>iex<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:code</span><span style=""color: #666666"">.</span>which <span style=""color: #0000FF; font-weight: bold"">String</span>        <span style=""color: #BA2121"">'/usr/local/Cellar/elixir/1.6.4/bin/../lib/elixir/ebin/Elixir.String.beam'</span> </pre></div> </td></tr></tbody></table></center><br></div>"	
How to view the source code of a particular function?	"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span></span>iex<span style=""color: #666666"">&gt;</span> open <span style=""color: #0000FF; font-weight: bold"">Tuple</span><span style=""color: #666666"">.</span>to_list </pre></div> </td></tr></tbody></table></center><br></div><div>will open the source code in a text editor</div>"	
What is the difference between <i>and</i>&nbsp;and &amp;&amp; operators ?	"<div><center><center>Elixir provides short-circuiting logical boolean operators <i>and, or, &amp;&amp;, and ||.</i> The <i>and</i> and <i>or</i> operators are said to be <b>strict</b> because they only accept booleans and return a boolean result. The pipes || and ampersands &amp;&amp; are non-strict/relaxed and can take any value. The values false and nil are the only falsey values and everything else is true.</center><center><br></center><center>Use<b> and</b> or<b> or</b> when you have boolean inputs and want a boolean result.</center><br><br><br><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span></span>iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #BA2121"">""hello""</span> <span style=""color: #AA22FF; font-weight: bold"">and</span> <span style=""color: #880000"">false</span> <span style=""color: #666666"">**</span> (<span style=""color: #0000FF; font-weight: bold"">BadBooleanError</span>) expected a boolean on left<span style=""color: #666666"">-</span>side of <span style=""color: #BA2121"">""and""</span>, <span style=""color: #19177C"">got</span>: <span style=""color: #BA2121"">""hello""</span>  iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #BA2121"">""hello""</span> <span style=""color: #666666"">&amp;&amp;</span> <span style=""color: #880000"">false</span> <span style=""color: #880000"">false</span> </pre></div> </td></tr></tbody></table></center><br></div>"	
"What is the output of the following and why?<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex<span style=""color: #666666"">&gt;</span><span style=""color: #0000FF; font-weight: bold"">Atom</span> <span style=""color: #666666"">==</span> <span style=""color: #0000FF; font-weight: bold"">Elixir.Atom</span> </pre></div> </td></tr></tbody></table></center><br></div>"	"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #880000"">true</span> </pre></div> </td></tr></tbody></table></center><br></div>"	
"What does <code>:""Elixir.Atom"" == Elixir.Atom</code> evaluate to?"	<code>true</code>	
"What does <code>:""Elixir.Atom"" = Atom</code> evaluate to?"	<code>true</code>	
"The first time you call the function of a module, BEAM tries to find the corresponding file on the disk. The VM looks for the file in the current folder and then in the code paths. What is the function to list all the code paths under which BEAM checks for modules if it can't find it in current directory?"	<pre>:code.get_path()</pre>	
How do you create a long running, stateful server without Genserver?	"<div> <div> <div> <div>In particular, all code that implements a server process needs to do the following: </div> <div>* Spawn a separate process<br>* Run an infinite loop in the process&nbsp;</div><div>* Maintain the process state<br>* React to messages<br>* Send a response back to the caller&nbsp;</div><div></div><center></center><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #008000; font-weight: bold"">defmodule</span> <span style=""color: #0000FF; font-weight: bold"">TodoApp</span> <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #008000; font-weight: bold"">def</span> start() <span style=""color: #008000; font-weight: bold"">do</span>     <span style=""color: #408080; font-style: italic"">#1. Spawn a separate proces</span>     spawn(<span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #0000FF; font-weight: bold"">TodoList</span><span style=""color: #666666"">.</span>new <span style=""color: #666666"">|&gt;</span> loop() <span style=""color: #008000; font-weight: bold"">end</span>)   <span style=""color: #008000; font-weight: bold"">end</span>    <span style=""color: #008000; font-weight: bold"">def</span> add_entry(pid, %{}<span style=""color: #666666"">=</span>item) <span style=""color: #008000; font-weight: bold"">do</span>     send(pid, {<span style=""color: #19177C"">:add_todo</span>, item})   <span style=""color: #008000; font-weight: bold"">end</span>    <span style=""color: #008000; font-weight: bold"">def</span> entries(pid, %<span style=""color: #0000FF; font-weight: bold"">Date</span>{}<span style=""color: #666666"">=</span>date) <span style=""color: #008000; font-weight: bold"">do</span>     send(pid,{<span style=""color: #19177C"">:get_entries</span>, self(), date})     <span style=""color: #008000; font-weight: bold"">receive</span> <span style=""color: #008000; font-weight: bold"">do</span>       {<span style=""color: #19177C"">:entries</span>, value} <span style=""color: #666666"">-&gt;</span>         value     <span style=""color: #008000; font-weight: bold"">end</span>    <span style=""color: #008000; font-weight: bold"">end</span>    <span style=""color: #008000; font-weight: bold"">def</span> loop(state) <span style=""color: #008000; font-weight: bold"">do</span>     <span style=""color: #408080; font-style: italic""># 3. Maintain the process state (by capturing creaing new state)</span>     new_state <span style=""color: #666666"">=</span>       <span style=""color: #008000; font-weight: bold"">receive</span> <span style=""color: #008000; font-weight: bold"">do</span>         <span style=""color: #408080; font-style: italic""># 4. React to messages</span>         {<span style=""color: #19177C"">:add_todo</span>, value} <span style=""color: #666666"">-&gt;</span> <span style=""color: #0000FF; font-weight: bold"">TodoList</span><span style=""color: #666666"">.</span>add_entries(state, value)         {<span style=""color: #19177C"">:get_entries</span>, caller, date} <span style=""color: #666666"">-&gt;</span>             <span style=""color: #408080; font-style: italic"">#5. Send a response back to the caller</span>             send(caller, {<span style=""color: #19177C"">:entries</span>, <span style=""color: #0000FF; font-weight: bold"">TodoList</span><span style=""color: #666666"">.</span>entries(state, date)})             state       <span style=""color: #008000; font-weight: bold"">end</span>     <span style=""color: #408080; font-style: italic""># 2. Run an infinite loop in the process </span>     loop(new_state)   <span style=""color: #008000; font-weight: bold"">end</span> <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br> </div> </div></div>"	
How do you list all the public/exported functions of a module in Elixir?	You can use the <code>__info__/1</code> function that’s automatically injected into each Elixir module during compilation. It lists all exported functions of a module (except <code>__info__/1</code>). <pre>iex> Enum.__info__(:functions)<br>[<br>  all?: 1,<br>  all?: 2,<br>  any?: 1,<br>  ...<br>]</pre>	
What is the purpose of <code>@impl</code> before behavior callback?	"The <code>@impl</code> tells the compiler that the function about to be defined is a callback function and therefore should satisfy behavior contract. If it doesn't conform, you will get a compile-time warning."	
