"<p>How would you write an Agent using GenServer? API should be like this:</p>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex(3)&gt; {:ok, pid}=GenServerAsAgent.
start_link(fn -&gt;0 end)  {:ok, #PID&lt;0.116.0&gt;} iex(4)&gt; GenServerAsAgent
.get(pid, fn x-&gt; x end) 0 iex(5)&gt; GenServerAsAgent.put(pid, fn x-&gt; x+
1 end)    :ok iex(6)&gt; GenServerAsAgent.get(pid, fn x-&gt; x end)      1</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
"	"<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>defmodule GenServerAsAgent do use GenServer  def
 start_link(init_fun) do  GenServer.start_link(__MODULE__, init_fun)
end  def get(pid, fun) do  GenServer.call(pid, {:get, fun}) end  def
put(pid, fun) do  GenServer.call(pid, {:update, fun}) end  def init(i
nit_fun) do  {:ok, init_fun.()} end  def handle_call({:get,fun}, _cal
ler, state) do  {:reply, fun.(state), state} end  def handle_call({:u
pdate, fun}, _caller, state) do  {:reply, :ok, fun.(state)} end  end</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
"	
"<p>True or False: Crash in process started by Task.async/1 also crashes the process that started it</p>
"	"<p>True, Task.async/1 links the new task to the starter process. Therefore, if you are starting multiple tasks and if any task process crashes, the starter process will crash too (unless it’s trapping exits). The crash of the starter process will, in turn, cause all the other tasks started by the same process to crash. In other words, starting multiple tasks with Task.async/1 has all-or-nothing semantics. The crash of a single task takes down all other tasks as well as the starter process. </p>
"	
"<p>How to concatenate two lists in Elixir?</p>
"	"<p><code>[a, b, c] ++ [d, e, f]</code></p>
"	
"<p>What happens with original message sent to GenServer after receive block times out on the sender side?</p>
"	"<p>Nothing. Original message remains in server queue and will be processed at some point. Timeout only means that client stopped waiting for it.</p>
"	
"<p>Assume that you want a node to be running between ports 10_000 and 10_100. How would you configure it?</p>
"	"<div>
<div>
<div>
<p>This can be done by setting the <em>inet_dist_listen_min</em> and <em>inet_dist_listen_max</em> environment variables of the kernel app at the command line:</p>
</div>
</div>
</div>
<div>
<div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>$ iex \</code></pre>
<pre style=""line-height: 125%""><code> --erl &#39;-kernel inet_dist_listen_min 10000&#39; \</code></pre>
<pre style=""line-height: 125%""><code>--erl &#39;-kernel inet_dist_listen_max 10100&#39; \</code></pre>
<pre style=""line-height: 125%""><code> --sname node1@localhost</code></pre>
</div></td>
</tr>
</tbody>
</table>
<div>
<div>
<div>
<div>
<p>The node will listen on the first port available in the given range. If you’re sure there won’t be a port clash, you can use the same value for both parameters, thus effectively designating a single port to be used.</p>
</div>
<div>
<p>You can manually inspect the ports of all nodes on the host machine via :net_adm .names/0:</p>
</div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex(node1@localhost)1&gt; :net_adm.names()  {:ok, [{&#39;node1&#39;, 10000}]}</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
"	
"<p>How to return real-time information about given process in Elixir?</p>
"	"<p>Using <code>Process</code> module:<br />
</p>
<pre><code>Process.info(pid)</code></pre>
"	
"<p>By default, a supervisor restarts a terminated process <strong>regardless of the exit reason</strong>.If you don't want your supervised process to be restarted if it terminates with :normal, where do you configure it?</p>
"	"<div>
<div>
<div>
<p>You can set up a transient worker by providing <strong>restart: :transient</strong> in your Worker's <strong>child_spec/1</strong>. </p>
</div>
<div>
<div>
<p>The following restart values are supported in the :restart option:</p>
</div>
<div>
<p><strong>:permanent</strong> - the child process is always restarted</p>
</div>
<div>
<p><strong>:temporary</strong> - the child process is never restarted (not even when the supervisor's strategy is :rest_for_one or :one_for_all)</p>
</div>
<div>
<p><strong>:transient</strong> - the child process is restarted only if it terminates abnormally, i.e., with an exit reason other than :normal, :shutdown or {:shutdown, term}</p>
</div>
<div>

</div>
</div>
</div>
</div>
"	
"<p>What is <code>System</code> module?</p>
"	"<p>The <code>System</code> module provides functions that interact directly with the VM or the host system. It also provides functions that work with time, returning different times kept by the system with support for different time units.</p>
"	
"<p>Explain <code>{try_clause,V}</code> error (<code>TryClauseError</code>).</p>
"	"<table>
<tbody>
<tr class=""odd"">
<td style=""text-align: left;"">No matching branch is found when evaluating the of-section of a <span style=""background-color: rgb(243, 243, 243);"">try</span> expression. The value <span style=""background-color: rgb(243, 243, 243);"">V</span> did not match.</td>
</tr>
</tbody>
</table>
"	
"<p>Describe a scenario when a child_spec/1 callback need to be implmented?</p>
"	"<p>* When you want to run a Module as supervised</p>
<div>
<p>                       <strong>and</strong><br />
</p>
<div>
<p>* The Supervised module is not implementing GenServer behavior(thereby we don't get the automatic implementation of child_spec/1 by GenServer)</p>
</div>
</div>
"	
"<p>How to check currently running applications in BEAM?</p>
"	"<p>:application.which_applications() or application:which_applications()</p>
"	
"<p>How to preview module attributes/metadata in Erlang?</p>
"	"<p>VIa <code>module_info()</code> function, e.g. <code>sys:module_info()</code>.<br />
<br />
<br />
5.5 module_info/0 and module_info/1 functions<br />
<br />
The compiler automatically inserts the two special, exported functions into each module:<br />
<br />
Module:module_info/0<br />
Module:module_info/1<br />
<br />
These functions can be called to retrieve information about the module.<br />
module_info/0<br />
<br />
The module_info/0 function in each module, returns a list of {Key,Value} tuples with information about the module. Currently, the list contain tuples with the following Keys: module, attributes, compile, exports, md5 and native. The order and number of tuples may change without prior notice.<br />
module_info/1<br />
<br />
The call module_info(Key), where Key is an atom, returns a single piece of information about the module.<br />
<br />
The following values are allowed for Key:<br />
<br />
module<br />
<br />
Returns an atom representing the module name.<br />
attributes<br />
<br />
Returns a list of {AttributeName,ValueList} tuples, where AttributeName is the name of an attribute, and ValueList is a list of values. Notice that a given attribute can occur more than once in the list with different values if the attribute occurs more than once in the module.<br />
<br />
The list of attributes becomes empty if the module is stripped with the beam_lib(3) module (in STDLIB).<br />
compile<br />
<br />
Returns a list of tuples with information about how the module was compiled. This list is empty if the module has been stripped with the beam_lib(3) module (in STDLIB).<br />
md5<br />
<br />
Returns a binary representing the MD5 checksum of the module. If the module has native code loaded, this will be the MD5 of the native code, not the BEAM bytecode.<br />
exports<br />
<br />
Returns a list of {Name,Arity} tuples with all exported functions in the module.<br />
functions<br />
<br />
Returns a list of {Name,Arity} tuples with all functions in the module.<br />
nifs<br />
<br />
Returns a list of {Name,Arity} tuples with all NIF functions in the module.<br />
native<br />
<br />
Return true if the module has native compiled code. Return false otherwise. In a system compiled without HiPE support, the result is always false<br />
</p>
"	
"<p>How to use variable substitution within a string?</p>
"	"<pre><code>&quot;Hello, #{name}&quot;</code></pre>
"	
"<p>What is ""With"" expression syntax?</p>
"	"<p>with expression1,</p>
<div>
<p>       expression2</p>
</div>
<div>
<p>       .</p>
</div>
<div>
<p>       .</p>
</div>
<div>
<p>       expressionn</p>
</div>
<div>
<p>do</p>
</div>
<div>
<p>      statement</p>
</div>
<div>
<p>else</p>
</div>
<div>
<p>     statement</p>
</div>
<div>
<p>end</p>
</div>
<div>
<p><br />
</p>
</div>
<div>
<p>where expression can be one of the following format:</p>
</div>
<div>
<p>  1. a &lt;- function_call</p>
</div>
<div>
<p>  2. a = function_call</p>
</div>
"	
"<p>What does <code>send</code> do? What are its arguments?</p>
"	"<p>It sends a message to the given destination:</p>
<pre><code>send(dest, message) :: message</code></pre>
<p><code>dest</code> can be one of the following:</p>
<ul>
<li>remote or local PID</li>
<li>local port</li>
<li>a locally registered name (represented by an atom)</li>
<li>a tuple of the form <code>{registered_name, node}</code> for a registered name at another node</li>
</ul>
<p><br />
<code>message</code> can be any term.</p>
"	
"<p>How to change process limit for BEAM?</p>
"	"<p>Use <code>erl</code>'s option <code>+P</code>.</p>
"	
"<p>How do you list the location of beam file for a particular Elixir/Erlang module?</p>
"	"<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex&gt; :code.which String        &#39;/usr/
local/Cellar/elixir/1.6.4/bin/../lib/elixir/ebin/Elixir.String.beam&#39;</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
"	
"<p>What's the difference between erl's <code>-name</code> and <code>-sname</code>?</p>
"	"<p>When we have two nodes on the same machine, we use “short” names (as indicated by the <code>-sname</code> flag), but if they are on different networks, we use <code>-name</code>. We can also use <code>-sname</code> on two different machines when they are on the same subnet. Using <code>-sname</code> is also the only method that will work if no DNS service is available. Short name will append localhost, e.g. <code>-sname gandalf</code> will give <code>gandalf@localhost</code>.</p>
"	
"<p>There are two ways to start a supervisor, a module-based approach (<em>start_link(module, init_arg, options \\ [])</em>) where you implement the Supervisor bevahior in the module and a function based approach where you call, <em>Supervisor.start_link(children, options)</em> passing the children. What is the difference?</p>
"	"<p>This is the function based approach:</p>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>children = [    %{         id: Stack,         start: {
Stack, :start_link, [[:hello]]} }  ]  {:ok, pid} = Supervisor.start_l
ink(children, strategy: :one_for_one) Supervisor.count_children(pid)</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p>And this is the Module-based approach:</p>
</div>
<div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>defmodule MyApp.Supervisor do   # Automatically defines child_sp
ec/1   use Supervisor    def start_link(init_arg) do     Supervisor.s
tart_link(__MODULE__, init_arg, name: __MODULE__)   end    @impl true
   def init(_init_arg) do     children = [       {Stack, [:hello]}
  ]      Supervisor.init(children, strategy: :one_for_one)   end end</code></pre>
</div></td>
</tr>
</tbody>
</table>
</div>
<div>
<div>
<p>The difference between the two approaches is that a module-based supervisor gives you more direct control over how the supervisor is initialized. Instead of calling <em>Supervisor.start_link/2</em> with a list of children that are automatically initialized, we manually initialized the children by calling <em>Supervisor.init/2</em> inside its <em>init/1</em> callback.</p>
</div>
<div>
<p><em>use Supervisor</em> also defines a <em>child_spec/1</em> function which allows us to run <em>MyApp.Supervisor</em> <strong>as a child of another supervisor</strong> or at the top of your supervision tree as:</p>
</div>
</div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>children = [   MyApp.
Supervisor ] Supervisor.start_link(children, strategy: :one_for_one)</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p>A general guideline is to use the supervisor without a callback module <strong>only at the top of your supervision tree</strong>, generally in the <em>Application.start/2</em> callback. We recommend using module-based supervisors for any other supervisor in your application, so they can run as a child of another supervisor in the tree.<br />
</p>
</div>
</div>
"	
"<p>config/config.exs file looks like this:</p>
<div>
<p><br />
</p>
</div>
<div>
<div>
<div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>use Mix.Confi
g config :todo, http_port: 5454 ... import_config &quot;#{Mix.env()}.exs&quot;</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p>What does the <em>import_config</em> macro do?</p>
</div>
</div>
</div>
</div>
"	"<div>
<div>
<div>
<p>The expression import_config ""<em>#{Mix.env()}.exs</em>"" imports the configuration specific to the current mix environment. To do that, you use the <em>Mix.env/0</em> function, which returns the mix environment as an atom (:dev, :test, or :prod). For example,</p>
</div>
<div>
<p><br />
</p>
</div>
<div>
<p>In config/test.exs,</p>
</div>
<div>
<p><br />
</p>
</div>
<div>
<div>
<div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>use Mix.Config config :todo, http_port: 5455</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
<div>
<p>Let’s quickly verify if this works. Start the application in the default dev environment:</p>
</div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>$ iex -S mix iex(1)&gt; Application.get_env(:todo, :http_port) 5454</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
<div>
<p>Now, try the same in the test environment:</p>
</div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>$ MIX_ENV
=test iex -S mix iex(1)&gt; Application.get_env(:todo, :http_port) 5455</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
</div>
</div>
</div>
</div>
</div>
"	
"<div>
<p>Elixir allows you to define you child_spec as part of your module if you don't want to use the default child_spec provided by 'use GenServer' like below: <br />
</p>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>defmodule Stac
k do   use GenServer    def start_link(state) do     GenServer.start_
link(__MODULE__, state, name: __MODULE__)   end      def child_spec(a
rg) do    %{      id: Stack,      start: {Stack, :start_link, [arg]}
    }   end    ## Callbacks    @impl true   def init(stack) do     {:
ok, stack}   end    @impl true   def handle_call(:pop, _from, [head |
 tail]) do     {:reply, head, tail}   end    @impl true   def handle_
cast({:push, head}, tail) do     {:noreply, [head | tail]}   end end</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p>How do you override this child spec when starting the supervisor?</p>
</div>
<div>
<div>
<div>

</div>
</div>
</div>
"	"<div>
<div>
<div>
<div>
<p>If you need to convert a tuple or a module child specification to a map or modify a child specification, you can use the Supervisor.child_spec/2 function. For example, to run the stack with a different :id and a :shutdown value of 10 seconds (10_000 milliseconds):</p>
</div>
<div>
<p><br />
</p>
</div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>child
ren = [ Supervisor.child_spec({Stack, [:hello]}, id: MyStack, shutdow
n: 10_000) ] Supervisor.start_link(children, strategy: :one_for_one]</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
</div>
</div>
"	
"<p>What's Elixir's anonymous function format?</p>
"	"<pre><code>fn
  parameter_list -&gt; body
  parameter_list -&gt; body
end</code></pre>
"	
"<p>When creating an ETS table you provide a table name as atom eventhough you still need to use the reference for table access like below:</p>
<div>
<p><br />
</p>
</div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex(2)&gt; table=:ets.new(:my_table, [
]) #Reference&lt;0.4030288514.1534984196.194401&gt; iex(3)&gt; :ets.insert(tab
le, {:key_1,1}) true iex(4)&gt; :ets.insert(table, {:key_2,%{name: &quot;mike
&quot;, city: &quot;boston&quot; }}) true iex(5)&gt; :ets.lookup(table, :key_2)
                            [key_2: %{city: &quot;boston&quot;, name: &quot;mike&quot;}]</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p>What's the purpose of :my_table?</p>
</div>
"	"<div>
<div>
<div>
<div>
<p>This argument must be an atom, and by default it serves no purpose but it's still required. You can create multiple tables with the same name, and they’re still different tables.</p>
</div>
<div>
<p>But if you provide a <strong>:named_table</strong> option, the table becomes accessible via its name and trying to create a duplicate named table will result in an error:</p>
</div>
</div>
</div>
</div>
<div>
<div>
<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex(1)&gt; :ets.new(:my_table
, [:named_table])  :my_table iex(2)&gt; :ets.insert(:my_table, {:key_1,
3}) true iex(3)&gt; :ets.lookup(:my_table, :key_1)  [key_1: 3] iex(4)&gt; :
ets.new(:my_table, [:named_table])  ** (ArgumentError) argument error</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
</div>
</div>
<div>
<div>
<p><br />
</p>
</div>
</div>
<div>
<div>
<div>
<p>In this sense, a table name resembles a locally registered process name. It’s a symbolic name of a table, and it relieves you of having to pass around the ETS reference </p>
</div>
</div>
</div>
"	
"<p>What is a supervisor and supervision tree?</p>
"	"<p>A supervisor is a process which supervises other processes, which we refer to as child processes. Supervisors are used to build a hierarchical process structure called a supervision tree. Supervision trees provide fault-tolerance and encapsulate how our applications start and shutdown.</p>
"	
"<p>Why GC is fast in Elrang/Elixir?</p>
"	"<p>Erlang processes are completely isolated and share no memory. This allows per-process garbage collection: instead of stopping the entire system, each process is individually collected as needed. Such collections are much quicker and don’t block the entire system for long periods of time. In fact, in a multicore system, it’s possible for one CPU core to run a short garbage collection while the remaining cores are doing standard processing.</p>
"	
"<p>List <code>cowboy</code> stream handlers.</p>
"	"<ul>
<li><code>cowboy_stream_h</code> - Default stream handler</li>
<li><code>cowboy_compress_h</code> - Compress stream handler</li>
<li><code>cowboy_metrics_h</code> - Metrics stream handler</li>
<li><code>cowboy_tracer_h</code> - Tracer stream handler</li>
</ul>
"	
"<p>What is the execution window for Erlang processes?</p>
"	"<p>~2000 reductions (function calls).</p>
"	
"<div>
<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>In the following code, why is the ets table wra
pped in GenServer? and why there&#39;s no callback code for get and put?d
efmodule ETSKeyValue do  use GenServer   def start_link() do   GenSer
ver.start_link(__MODULE__, nil, name: __MODULE__)  end   def init(_)
do   :ets.new(__MODULE__, [:named_table, :public, write_concurrency:
true])   {:ok, nil}  end   def put(key, value) do   :ets.insert(__MOD
ULE__, {key, value})  end   def get(key) do   case :ets.lookup(__MODU
LE__, key) do    [{^key,value}] -&gt; value    [] -&gt; nil   end  end end</code></pre>
</div></td>
</tr>
</tbody>
</table>
<p><br />
</p>
</div>
<p><br />
</p>
"	"<p>1. An ETS table is deeply connected to its owner process (by default, the process that created the table). If the owner process terminates, the ETS table is reclaimed. So the sole purpose of this GenServer process is to keep the table alive. </p>
<div>
<p>2. get and put operations now don’t go through the server process. This means that multiple clients can work with the key/value store simultaneously, without blocking each other </p>
</div>
"	
"<p>How do you get the application configuration? For example, assume you have a <em>:todo</em> app that has a <em>:http_port</em> configured in config file. How do you access this variable in your code?</p>
"	"<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex(1)&gt; Application.fetch_env!(:todo, :http_port) 5454</code></pre>
</div></td>
</tr>
</tbody>
</table>
<div>
<div>
<div>
<div>
<p>The most typical way of setting an application environment is to use the <em>config/config.exs</em> file. You can specify various environment settings in that file, and these settings will be loaded before the OTP application is started. The <em>config.exs</em> file is a script that’s evaluated by the mix tool when compiling the project and starting the application. As soon as you start the system, this setting is available in the application environment, and you can retrieve it </p>
</div>
</div>
</div>
</div>
"	
"<p>How to print in a console in Erlang?</p>
"	"<p><code>io.format(""~p~n"", [SomeValue]).</code><br />
<br />
Todo, what is ~p and other values</p>
"	
"<p>What is an Agent?</p>
"	"<p>Agents are a simple abstraction around state. Often in Elixir there is a need to share or store state that must be accessed from different processes or by the same process at different points in time. The Agent module provides a basic server implementation that allows state to be retrieved and updated via a simple API. Here is an example of simple counter implemented as an Agent:<br />
<br />
</p>
<pre><code>defmodule Counter do
  use Agent

  def start_link(initial_value) do
    Agent.start_link(fn -&gt; initial_value end, name: __MODULE__)
  end

  def value do
    Agent.get(__MODULE__, &amp; &amp;1)
  end

  def increment do
    Agent.update(__MODULE__, &amp;(&amp;1 + 1))
  end
end</code></pre>
"	
"<p>Explain <code>{badarity,F}</code> - <code>BadArityError</code> error.</p>
"	"<p>A function is applied to the wrong number of arguments. <code>F</code> describes the function and the arguments.</p>
"	
"<p>Given the PID of a process, how do you force it to exit?</p>
"	"<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr class=""odd"">
<td><div class=""highlight"" style=""background: #f8f8f8"">
<pre style=""line-height: 125%""><code>iex&gt;Process.exit(pid, :kill)
true</code></pre>
</div>
<br />
</td>
</tr>
</tbody>
</table>
<p><br />
   </p>
"	
"<p>How does BEAM avoid deadlocks and process starvation?</p>
"	"<p>Elrang's scheduler is preemptive—it gives a small execution window to each process and then pauses it and runs another process. Because the execution window is small, a single long-running process can’t block the rest of the system. Furthermore, I/O operations are internally delegated to separate threads, or a kernel-poll service of the underlying OS is used if available. This means any process that waits for an I/O operation to finish won’t block the execution of other processes.</p>
"	
"<p>Explain try catch syntax in Elixir</p>
"	"<p><code>try do ... catch type, value -&gt; ... end</code></p>
"	
"<p>We know that Kernel.spawn_link spawns a process and links the parent and child. How do we connect two independent processes?</p>
"	"<p>Process.link/1 creates a link between the calling process and the given item (process or port).</p>
<div>
<p>Links are bidirectional. Linked processes can be unlinked by using unlink/1.</p>
</div>
"	
"<p>What is the default primary key in an Ecto model?</p>
"	"<p>NOTE: by using Ecto.Schema, an :id field with type :id (:id means :integer) is generated by default, which is the primary key of the Schema. If you want to use a different primary key, you can declare custom @primary_key before the schema/2 call. Consult the Ecto.Schema documentation for more information.</p>
"	
"<p>Explain <code>{nocatch,V}</code> error (Erlang).</p>
"	"<table>
<tbody>
<tr class=""odd"">
<td style=""text-align: left;"">Trying to evaluate a <span style=""background-color: rgb(243, 243, 243);"">throw </span>outside a <span style=""background-color: rgb(243, 243, 243);"">catch</span>. <span style=""background-color: rgb(243, 243, 243);"">V</span> is the thrown term.</td>
</tr>
</tbody>
</table>
"	
